DS_TO_MF_execute_ls,ALPHAPR
P.JS.GR.BAE.NB51.5C.NBPC_51_02,P.JS.GR.BAE.NB51.7.NBPC_EXTR_QC_NB51
P.FL.GR.BAE.5D.NB51,P.JS.GR.BAE.NB51.5F.NBPC_00_NB51
P.JS.GR.BAE.NB51.5F.NBPC_00_NB51,P.JS.GR.BAE.NB51.5G.NBPC_01_NB51
P.EW.GR.BAE.NB51.TRIGGER,P.FT.GR.BAE.NB51.INCOMING.MOVE
P.JS.GR.BAE.NB51.7.NBPC_EXTR_QC_NB51,P.FT.GR.BAE.NB51.QCLOG.OUTGOING.MOVE
P.JS.GR.BAE.NB51.5G.NBPC_01_NB51,P.FL.GR.BAE.6A
P.JS.GR.BAE.NB51.5D.NBPC_51_03,P.JS.GR.BAE.NB51.5E.NBPC_CONTROLM_02
P.JS.GR.BAE.NB51.5E.NBPC_CONTROLM_02,DUMMYJOB
P.FL.GR.BAE.START,P.FL.GR.BAE.5.NB52
P.JS.GR.BAE.NB52.5A.NBPC_52_00,P.JS.GR.BAE.NB52.5C.NBPC_52_02
ICBFPSL,P.JS.GR.BAE.NB52.5A.NBPC_52_00
P.JS.GR.BAE.NB52.5C.NBPC_52_02,P.JS.GR.BAE.NB52.7.NBPC_EXTR_QC_NB52
P.JS.GR.BAE.NB52.5C.NBPC_52_02,P.FL.GR.BAE.5D.NB52
P.FL.GR.BAE.5D.NB52,P.JS.GR.BAE.NB52.5F.NBPC_00_NB52
P.JS.GR.BAE.NB52.5F.NBPC_00_NB52,P.JS.GR.BAE.NB52.5F.NBPC_01_NB52_A
P.JS.GR.BAE.NB52.5G.NBPC_01_NB52_A,P.FL.GR.BAE.7.NB47
P.JS.GR.BAE.NB52.5F.NBPC_01_NB52_A,P.JS.GR.BAE.NB52.5G.NBPC_01_NB52_B
P.JS.GR.BAE.NB52.5F.NBPC_01_NB52_A,P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_A
P.JS.GR.BAE.NB52.7.NBPC_EXTR_QC_NB52,P.FT.GR.BAE.NB52.QCLOG.OUTGOING.MOVE
P.JS.GR.BAE.NB52.5G.NBPC_01_NB52_B,P.FL.GR.BAE.7.NB33.G
P.JS.GR.BAE.NB52.5G.NBPC_01_NB52_B,P.FL.GR.BAE.7.NB44
P.JS.GR.BAE.NB52.5I.NBPC_01_NB52_C,P.FL.GR.BAE.6A
P.JS.GR.BAE.NB52.5G.NBPC_01_NB52_B,P.JS.GR.BAE.NB52.5H.NBPC_01_NB52_D
P.JS.GR.BAE.NB52.5H.NBPC_01_NB52_D,P.JS.GR.BAE.NB52.5J.NBPC_01_NB52_E
P.JS.GR.BAE.NB52.5J.NBPC_01_NB52_E,P.JS.GR.BAE.NB52.5I.NBPC_01_NB52_C
P.JS.GR.BAE.NB52.5E.NBPC_CONTROLM_02,DUMMYJOB
P.JS.GR.BAE.NB52.5D.NBPC_52_03,P.JS.GR.BAE.NB52.5E.NBPC_CONTROLM_02
P.FL.GR.BAE.START,P.FL.GR.BAE.5.NB53
P.JS.GR.BAE.NB53.5A.NBPC_53_00,P.JS.GR.BAE.NB53.5B.NBPC_53_02
P.JS.GR.BAE.NB53.5B.NBPC_53_02,P.FL.GR.BAE.5D.NB53
P.JS.GR.BAE.NB53.5B.NBPC_53_02,P.JS.GR.BAE.NB53.7.NBPC_EXTR_QC_NB53
P.FL.GR.BAE.5D.NB53,P.JS.GR.BAE.NB53.5E.NBPC_00_NB53
P.JS.GR.BAE.NB53.5E.NBPC_00_NB53,P.JS.GR.BAE.NB53.5G.NBPC_01_NB53
P.JS.GR.BAE.NB53.7.NBPC_EXTR_QC_NB53,P.FT.GR.BAE.NB53.QCLOG.OUTGOING.MOVE
P.JS.GR.BAE.NB53.5G.NBPC_01_NB53,P.FL.GR.BAE.6A
P.JS.GR.BAE.NB53.5G.NBPC_01_NB53,P.FL.GR.BAE.7.NB33.E
P.JS.GR.BAE.NB53.5G.NBPC_01_NB53,P.FL.GR.BAE.7.NB44
P.JS.GR.BAE.NB53.5G.NBPC_01_NB53,P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_A
P.JS.GR.BAE.NB53.5C.NBPC_53_03,P.JS.GR.BAE.NB53.5D.NBPC_CONTROLM_02
P.JS.GR.BAE.NB53.5D.NBPC_CONTROLM_02,DUMMYJOB
P.FL.GR.BAE.6A,P.FL.GR.SAP.BAE.BALANCES
P.FL.GR.BAE.6A,P.FL.GR.SAP.EEXPENS.EXECUTIVE_EXPENSES
P.FL.GR.BAE.6A,P.FL.GR.BAE.6B
P.FL.GR.BAE.6A,P.JS.GR.SAP.ZNB_BAL_BANK_TRADE
P.FL.GR.BAE.6A,P.FL.GR.WTH.WITHHOLDING.SAP.TAXES
P.JS.GR.BAE.6A.NBPC_CONTROLM_03,P.JS.GR.BAE.6A.WAIT1800
P.JS.GR.BAE.6A.NBPC_CONTROLM_03,P.FL.GR.BAE.7B.NEQC.END
P.JS.GR.BAE.6A.NBPC_CONTROLM_03,P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_B
P.FL.GR.BAE.6B,P.FL.GR.BAE.8
P.JS.GR.BAE.7.NB14.NBPC_EXTR_E14,P.FT.GR.BAE.NB14.OUTGOING.MOVE
P.JS.GR.BAE.7.NB23.NBPC_EXTR_E23_BL_01,P.FT.GR.BAE.NB23.OUTGOING.MOVE
P.JS.GR.BAE.7.NB23.NBPC_EXTR_E23_BL_01,P.JS.GR.BAE.7B.NB23.NB_S_EXTR_E23_COMPLETION
P.JS.GR.BAE.7.NB23.NBPC_EXTR_E23_PS_01,P.FT.GR.BAE.NB23.OUTGOING.MOVE
P.JS.GR.BAE.7.NB23.NBPC_EXTR_E23_PS_01,P.JS.GR.BAE.7B.NB23.NB_S_EXTR_E23_COMPLETION
P.FT.GR.BAE.NB23.OUTGOING.MOVE,P.FT.GR.BAE.BAZ.TRANSFER.GLPS.INCOMING
P.FT.GR.BAE.NB23.OUTGOING.MOVE,P.FT.GR.BAE.BAZ.TRANSFER.INCOMING.GLBL
P.FL.GR.BAE.7.NB33.A,P.FL.GR.BAE.7B.NB33.END
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_GL01_01,P.FT.GR.BAE.NB33.A.OUTGOING.MOVE
P.FT.GR.BAE.NB33.A.OUTGOING.MOVE,P.FT.GR.BAE.NB33.A.EDW.MOVE
P.FT.GR.BAE.NB33.A.EDW.MOVE,EDWPD718
P.FL.GR.BAE.7.NB33.B,P.FL.GR.BAE.7B.NB33.END
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_GL04_01,P.FT.GR.BAE.NB33.B.OUTGOING.MOVE
P.FT.GR.BAE.NB33.B.OUTGOING.MOVE,P.FT.GR.BAE.NB33.B.EDW.MOVE
P.FT.GR.BAE.NB33.B.EDW.MOVE,EDWPD62B
P.FL.GR.BAE.7.NB33.C,P.FL.GR.BAE.7B.NB33.END
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_GL08_01,P.FT.GR.BAE.NB33.C.OUTGOING.MOVE
P.FT.GR.BAE.NB33.C.OUTGOING.MOVE,P.FT.GR.BAE.NB33.C.EDW.MOVE
P.FT.GR.BAE.NB33.C.EDW.MOVE,EDWPD319
P.FL.GR.BAE.7.NB33.D,P.FL.GR.BAE.7B.NB33.END
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_GL20_01,P.FT.GR.BAE.NB33.D.OUTGOING.MOVE
P.FT.GR.BAE.NB33.D.OUTGOING.MOVE,P.FT.GR.BAE.NB33.D.EDW.MOVE
P.FT.GR.BAE.NB33.D.EDW.MOVE,EDWPDI17
P.FL.GR.BAE.7.NB33.E,P.FL.GR.BAE.7B.NB33.END
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_LOV_01,P.FT.GR.BAE.NB33.E.OUTGOING.MOVE
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_MTPS_01,P.FT.GR.BAE.NB33.E.OUTGOING.MOVE
P.FT.GR.BAE.NB33.E.OUTGOING.MOVE,P.FT.GR.BAE.NB33.E.EDW.MOVE
P.FT.GR.BAE.NB33.E.EDW.MOVE,EDWPD716
P.FT.GR.BAE.NB33.E.EDW.MOVE,EDWPD715
P.FL.GR.BAE.7.NB33.F,P.FL.GR.BAE.7B.NB33.END
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_GL07_01,P.FT.GR.BAE.NB33.F.OUTGOING.MOVE
P.FT.GR.BAE.NB33.F.OUTGOING.MOVE,P.FT.GR.BAE.NB33.F.EDW.MOVE
P.FT.GR.BAE.NB33.F.EDW.MOVE,EDWPD717
P.FL.GR.BAE.7.NB33.G,P.FL.GR.BAE.7.NB33.H
P.FL.GR.BAE.7.NB33.G,P.FL.GR.BAE.7B.NB33.END
P.FT.GR.BAE.NB33.G.OUTGOING.MOVE,P.FT.GR.BAE.NB33.G.EDW.MOVE-895
P.JS.GR.BAE.7.NB33.NBPC_EXTR_E33_GL52_01,P.FT.GR.BAE.NB33.G.OUTGOING.MOVE-895
P.FT.GR.BAE.NB33.G.EDW.MOVE,EDWDC00R
P.FL.GR.BAE.7.NB33.H,P.FL.GR.BAE.7B.NB33.END
P.FT.GR.BAE.NB33.H.OUTGOING.MOVE,P.FT.GR.BAE.NB33.H.EDW.MOVE
P.FT.GR.BAE.NB33.H.EDW.MOVE,EDWDC00P
P.FL.GR.BAE.7.NB41,P.JS.GR.MYD.1.NB_MD_BAE_REC_01_CTM
P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_A,P.FT.GR.BAE.NB41.OUTGOING.MOVE_A
P.FT.GR.BAE.NB41.OUTGOING.MOVE_A,P.FT.GR.BAE.NB41.MYDATA.MOVE_A
P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_B,P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_C
P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_A,P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_C
P.JS.GR.BAE.7.NB41.NBPC_EXTR_E41_B,P.FT.GR.BAE.NB41.OUTGOING.MOVE_B
P.FT.GR.BAE.NB41.OUTGOING.MOVE_B,P.FT.GR.BAE.NB41.MYDATA.MOVE_B
P.JS.GR.BAE.7.NB44.NBPC_EXTR_E44_01,P.FT.GR.BAE.NB44.OUTGOING.MOVE
P.FT.GR.BAE.NB44.OUTGOING.MOVE,P.FT.GR.BAE.NB44.DEALINGROOM.MOVE
P.JS.GR.BAE.7.NB45.NBPC_EXTR_E45_01,P.FT.GR.BAE.NB45.OUTGOING.MOVE.L
P.JS.GR.BAE.7.NB45.NBPC_EXTR_E45_01,P.FT.GR.BAE.NB45.OUTGOING.MOVE.M
P.FT.GR.BAE.NB45.OUTGOING.MOVE.L,P.FT.GR.BAE.NB45.INTELLIMATCH.MOVE.L
P.FT.GR.BAE.NB45.OUTGOING.MOVE.M,P.FT.GR.BAE.NB45.INTELLIMATCH.MOVE.M
P.JS.GR.BAE.7.NB47.NBPC_EXTR_E47,P.FT.GR.BAE.NB47.OUTGOING.MOVE
P.JS.GR.BAE.1A.NBPC_CONTROLM_00,P.JS.GR.BAE.2A.NBPC_00_01
P.FL.GR.SAP.NBG.RATES,P.JS.GR.BAE.1A.NBPC_CONTROLM_00
P.JS.GR.BAE.1B.NBPC_00_00,P.JS.GR.BAE.2B.NBPC_34_00
P.JS.GR.BAE.1C.NBPC_00_03,P.JS.GR.BAE.3A.NBPC_32_02
P.FL.GR.SAP.NBG.RATES,P.JS.GR.BAE.1C.NBPC_00_03
P.JS.GR.BAE.2B.NBPC_34_00,P.JS.GR.BAE.2C.NBPC_34_01
P.JS.GR.BAE.2B.NBPC_34_00,P.JS.GR.BAE.3A.NBPC_32_02
P.JS.GR.BAE.2C.NBPC_34_01,P.JS.GR.BAE.4A.NBPC_38_00
P.JS.GR.BAE.3A.NBPC_32_02,P.JS.GR.BAE.3B.NBPC_CONTROLM_01
P.JS.GR.BAE.4A.NBPC_38_00,P.JS.GR.BAE.4B.NBPC_38_02
P.FT.GR.BAE.NB38.INCOMING.MOVE,P.JS.GR.BAE.4A.NBPC_38_00
P.EW.GR.BAE.NB38.TRIGGER.TXT,P.FT.GR.BAE.NB38.INCOMING.MOVE
P.FWT.GR.SAP.FINANCIALS.MOVE,P.JS.GR.SAP.FINANCIALS.ZNB_FI_AUTOMATIC_INVOICES
P.JS.GR.SAP.FINANCIALS.ZNB_FI_AUTOMATIC_INVOICES,P.FT.GR.SAP.FINANCIALS.MOVE
P.FT.GR.EDW.FROM.LEA.CUSTOMERELEMENTS.TXT,EDOPW031
EDOPW031,P.FT.GR.EDW.TO.LEA.CUSTOMERELEMENTS.TXT
KAJ00044,KAJ00045
KFT00025,KAJ00044
KAJ00045,KAJ00046
KAJ00046,KAJ00047
KAJ00047,DUMMYJOB
EDOPM0AU,EDOPM0AV
EDOPM0AV,EDOPM0AW
EDOM0AU,P.FL.GR.AZR.EDW.CROSS_INDEX
P.JS.GR.SAP.BAE.ZNBZEDOWN_ED2_VB_NEW_2.ZNBBALANCES,P.FT.GR.SAP.BAE.SAP_ACC_BAL_D.TXT
P.FL.GR.SAP.BAE.BALANCES,EDWD70D
TEST.PRE.LOCAL.6.INTERNET.BANKING.STOP,TEST.PRE.LOCAL.6.CHECK.INTERNET.BANKING.STATUS
TEST.POST.LOCAL.49.INTERNET.BANKING.START,TEST.POST.LOCAL.49.CHECK.INTERNET.BANKING.STATUS
P.FT.GR.BKT.DAILY.ACC.COMM.COPY.PRN166_PRN255,P.FT.GR.BKT.DAILY.ACC.COMM.BACKUP.PRN166_PRN255
P.FT.GR.BKT.DAILY.ACC.COMM.BACKUP.PRN166_PRN255,P.JW.GR.BKT.DAILY.ACC.COMM.WNMPD944
ST.T24.PRE.COB,ST.T24.COB
ST.T24.COB,ST.T24.POST.COB
POST.8.JOBS.UNLOCK.SERVER.FOR.NEXT.NON.WORKING.HOLIDAYS,POST.8.1.ALLOW.WEB.ACCESS.AIX+1
POST.8.1.ALLOW.WEB.ACCESS.AIX+1,POST.8.1.ALLOW.WEB.ACCESS.CHECK.AIX+1
POST.8.1.ALLOW.WEB.ACCESS.CHECK.AIX+1,POST.8.2.START.JBOSS+1
POST.8.2.START.JBOSS+1,POST.BS.4.UNLOCK.REPORT.FOR.NEXT.NON.WORKING.HOLIDAYS
POST.8.2.START.JBOSS+1,POST.GET.COB.TIME+1
POST.BS.4.UNLOCK.REPORT.FOR.NEXT.NON.WORKING.HOLIDAYS,POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.BS+1
POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.BS+1,POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.CHECK.BS+1
POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.CHECK.BS+1,POST.9.CHECK.EB.EOD.ERROR.TABLE+1
POST.LOCAL.54.DE.PRINT.AUTO+1,POST.LOCAL.54.AC.HVT.MERGE.SERVICE.AUTO+1
POST.LOCAL.54.AC.HVT.MERGE.SERVICE.AUTO+1,POST.LOCAL.54.AC.STMT.DELIVERY.SERVICE.START+1
POST.LOCAL.54.AC.STMT.DELIVERY.SERVICE.START+1,POST.LOCAL.54.MB2.TSA.ONTIME.AUTO+1
POST.LOCAL.54.MB7.B.START.SLOW.ENQS.SERVICES.START+1,POST.LOCAL.54.DE.PRINT.AUTO+1
POST.LOCAL.54.MB2.TSA.ONTIME.AUTO+1,POST.LOCAL.54.MB7.B.ALLAINCE.OUT.AUTO+1
POST.LOCAL.54.OFS.RESPONSE.QUEUE.AUTO+1,POST.LOCAL.54.MB7.B.ACCT.STMT.MVMT.AUTO+1
POST.LOCAL.54.MB7.B.ACCT.STMT.MVMT.AUTO+1,POST.LOCAL.54.MB7.B.PAF.FT.CHARGE.AUTO+1
POST.LOCAL.54.MB7.B.ALLAINCE.OUT.AUTO+1,POST.LOCAL.54.MB7.B.PREV.SALARY.PROCESS.AUTO+1
POST.LOCAL.54.MB7.B.PAF.FT.CHARGE.AUTO+1,POST.LOCAL.54.NR.PROCESS.MESSAGES.AUTO+1
POST.LOCAL.54.MB7.B.PREV.SALARY.PROCESS.AUTO+1,POST.LOCAL.54.OFS.RESPONSE.QUEUE.AUTO+1
POST.LOCAL.54.STB.OFS.RESPONSE.AUTO+1,POST.LOCAL.54.MB7.B.START.SLOW.ENQS.SERVICES.START+1
POST.LOCAL.54.PRINT.OUT.AUTO+1,POST.LOCAL.54.NBG.S.ALLIANCE.AUTO+1
POST.LOCAL.54.NBG.S.ALLIANCE.AUTO+1,POST.LOCAL.54.SWIFT.IN.AUTO+1
POST.LOCAL.54.NR.PROCESS.MESSAGES.AUTO+1,POST.LOCAL.54.MB7.B.CR.CARD.APS.PROCESS.AUTO+1
POST.LOCAL.54.SWIFT.IN.AUTO+1,POST.LOCAL.54.OFS.MESSAGE.SERVICE.AUTO+1
POST.LOCAL.54.OFS.MESSAGE.SERVICE.AUTO+1,POST.LOCAL.54.STB.OFS.RESPONSE.AUTO+1
POST.LOCAL.54.SWIFT.OUT.AUTO+1,POST.LOCAL.54.PRINT.OUT.AUTO+1
FL.POST.LOCAL.53.CHECK.TRANSFER.OF.DEBIT.FILES.FROM.VISA+1,POST.LOCAL.54.SWIFT.OUT.AUTO+1
POST.LOCAL.55.3.MB7.B.STO.FT.PROCESS.START+3,FL.POST.LOCAL.55.3.MB7.B.STO.FT.PROCESS.CHECK+1
POST.LOCAL.55.2.MB7.B.ACCT.SEND.NOTIF.UPD.START+1,POST.LOCAL.55.3.MB7.B.STO.FT.PROCESS.START+3
POST.8.JOBS.UNLOCK.SERVER.FOR.NEXT.NON.WORKING.HOLIDAYS,P.JU.ST.T24.POST.8.1.ALLOW.WEB.ACCESS.AIX+1
POST.9.CHECK.EB.EOD.ERROR.TABLE+1,FL.POST.LOCAL.49.1.WHO.START.TSM+1
POST.9.CHECK.EB.EOD.ERROR.TABLE+1,POST.LOCAL.49.INTERNET.BANKING.START.1
POST.BS.4.UNLOCK.REPORT.FOR.NEXT.NON.WORKING.HOLIDAYS,P.JU.ST.T24.POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.BS+1
FL.POST.LOCAL.49.1.WHO.START.TSM+1,POST.LOCAL.50.MB4.B.PH.LOCAL.RTGS.IN.AUTO+1
POST.LOCAL.50.MB4.B.PH.LOCAL.RTGS.IN.AUTO+1,POST.LOCAL.51.MB4.B.PH.LOCAL.RTGS.OUT.AUTO+1
POST.LOCAL.51.1.MB7.B.CUS.BEHAVIOUR.UPD.START+1,POST.LOCAL.52.START.TELEMARKETING.PHANTOM+1
POST.LOCAL.51.MB4.B.PH.LOCAL.RTGS.OUT.AUTO+1,POST.LOCAL.51.1.MB7.B.CUS.BEHAVIOUR.UPD.START+1
POST.LOCAL.52.START.TELEMARKETING.PHANTOM+1,POST.LOCAL.52.START.SALARY.PHANTOM+1
POST.LOCAL.52.START.SALARY.PHANTOM+1,FL.POST.LOCAL.53.CHECK.TRANSFER.OF.CREDIT.FILES.FROM.VISA+1
POST.1.HOUR.DELAY+1,POST.LOCAL.55.1.MB4.B.ADVICE.SENT.START+1
FL.POST.LOCAL.53.CHECK.TRANSFER.OF.DEBIT.FILES.FROM.VISA+1,POST.LOCAL.55.2.MB7.B.ACCT.SEND.NOTIF.UPD.START+1
FL.POST.LOCAL.55.3.MB7.B.STO.FT.PROCESS.CHECK+1,POST.LOCAL.55.4.MB7.B.UNPROCESSED.STO.FIXED.START+1
POST.LOCAL.55.4.MB7.B.UNPROCESSED.STO.FIXED.START+1,FL.POST.LOCAL.55.4.MB7.B.UNPROCESSED.STO.FIXED.CHECK+1
FL.POST.LOCAL.55.4.MB7.B.UNPROCESSED.STO.FIXED.CHECK+1,POST.LOCAL.55.5.NR.AUTOMATCH.START+1
POST.LOCAL.55.5.NR.AUTOMATCH.START+1,FL.POST.LOCAL.55.5.NR.AUTOMATCH.CHECK+1
FL.POST.LOCAL.55.5.NR.AUTOMATCH.CHECK+1,POST.LOCAL.55.6.MB7.B.MATCHED.NR.ITEMS.START+1
POST.LOCAL.55.6.MB7.B.MATCHED.NR.ITEMS.START+1,FL.POST.LOCAL.55.6.MB7.B.MATCHED.NR.ITEMS.CHECK+1
FL.POST.LOCAL.53.CHECK.TRANSFER.OF.DEBIT.FILES.FROM.VISA+1,POST.LOCAL.55.MB4.B.LOAD.STB.VISA.TXNS.START+1
POST.LOCAL.55.MB4.B.LOAD.STB.VISA.TXNS.START+1,FL.POST.LOCAL.55.MB4.B.LOAD.STB.VISA.TXNS.CHECK+1
FL.POST.LOCAL.53.CHECK.TRANSFER.OF.DEBIT.FILES.FROM.VISA+1,POST.LOCAL.56.PREROCI+1
POST.LOCAL.56.PREROCI+1,POST.LOCAL.57.AVTORIZACIJA+1
FL.POST.LOCAL.55.MB4.B.LOAD.STB.VISA.TXNS.CHECK+1,POST.LOCAL.58.CHECK.UPDATE.OF.POS.DEBIT.STMTS.VISLOG2+1
POST.LOCAL.58.CHECK.UPDATE.OF.POS.DEBIT.STMTS.VISLOG2+1,POST.LOCAL.58.CHECK.UPDATE.OF.POS.DEBIT.STMTS.VISCRLOG2+1
POST.LOCAL.54.MB7.B.APS.OVERDRAFTS.AUTO+1,POST.1.HOUR.DELAY+1
POST.GET.COB.TIME+1,P.NE.ST.T24.COB.COMPLETION.REPORT+1
POST.LOCAL.49.INTERNET.BANKING.START.1,POST.LOCAL.49.CHECK.INTERNET.BANKING.STATUS.1
POST.LOCAL.55.7.MB7.B.FT.LOP.UPDATE.START+1,FL.POST.LOCAL.55.7.MB7.B.FT.LOP.UPDATE.CHECK+1
FL.POST.LOCAL.55.MB4.B.LOAD.STB.VISA.TXNS.CHECK+1,POST.LOCAL.55.7.MB7.B.FT.LOP.UPDATE.START+1
POST.LOCAL.54.MB7.B.CR.CARD.APS.PROCESS.AUTO+1,POST.LOCAL.54.MB7.B.CR.CARD.APS.VERIFY.AUTO+1
POST.LOCAL.54.MB7.B.CR.CARD.APS.VERIFY.AUTO+1,POST.LOCAL.54.MB7.B.RET.LOAN.APS.PROCESS.AUTO+1
POST.LOCAL.54.MB7.B.RET.LOAN.APS.PROCESS.AUTO+1,POST.LOCAL.54.MB7.B.RET.LOAN.APS.VERIFY.AUTO+1
POST.LOCAL.54.MB7.B.RET.LOAN.APS.VERIFY.AUTO+1,POST.LOCAL.54.MB7.B.APS.OVERDRAFTS.AUTO+1
FL.POST.LOCAL.53.CHECK.TRANSFER.OF.CREDIT.FILES.FROM.VISA+1,FL.POST.LOCAL.53.CHECK.TRANSFER.OF.DEBIT.FILES.FROM.VISA+1
FL.CHECK.SERVICES.AFTER.COB,ST.T24.CHECK.SERVICES.AFTER.COB.2
ST.T24.CHECK.SERVICES.AFTER.COB.2,POST.3.CHECK.SERVICES.NBG.M.POSTCOB.STATUS.TS
POST.4.START.TRANSACTION.JOURNALLING,ST.T24.POST.5.START.TCS
ST.T24.POST.5.START.TCS,POST.6.REST.SPOOLER
POST.BS.4.UNLOCK.REPORT,ST.T24.POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.BS
ST.T24.POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.BS,ST.T24.POST.BS.4.1.ALLOW.WEB.ACCESS.TO.REPORT.CHECK.BS
FL.COB.STOP.CHECK,ST.T24.POST.LOCAL.54.AC.HVT.MERGE.SERVICE.STOP
ST.T24.POST.LOCAL.54.AC.HVT.MERGE.SERVICE.STOP,FL.CHECK.SERVICES.AFTER.COB
POST.BS.2.DAILY,ST.T24.START.BS.TCSUC4
POST.BS.2.MONTHLY,ST.T24.START.BS.TCSUC4
ST.T24.START.BS.TCSUC4,POST.7.JOBS.START.BS.TSM
POST.BS.1.M.VG3CLONE,ST.T24.START.TCSUC4
ST.T24.START.TCSUC4,POST.4.START.TRANSACTION.JOURNALLING
POST.3.1.AIX.CHECK.ONLINE.STATUS.OF.GLOBUS,ST.T24.STOP.TCSUC4
ST.T24.STOP.TCSUC4,POST.BS.1.VG1OUT
FL.TSA.SERVICE.TSA.STATUS.CHECK.STOP,POST.3.1.AIX.CHECK.ONLINE.STATUS.OF.GLOBUS
POST.3.CHECK.SERVICES.NBG.M.POSTCOB.STATUS.TS,POST.3.JOBS.TSM.LIST.F.TSA.STATUS
POST.3.JOBS.STOP.TSM,POST.3.JOBS.TSM.PS.EF
POST.3.JOBS.TSM.LIST.F.TSA.STATUS,POST.3.JOBS.STOP.TSM
POST.3.JOBS.TSM.PS.EF,FL.AIX.TSA.CHECK+1
POST.6.REST.SPOOLER,POST.7.JOBS.START.TSM
POST.7.JOBS.START.BS.TSM,POST.7.JOBS.MANUAL.START.BS.TSM
POST.7.JOBS.MANUAL.START.BS.TSM,ST.T24.START.TSM.BS.CHECK
POST.7.JOBS.START.TSM,POST.7.JOBS.MANUAL.START.TSM
POST.7.JOBS.MANUAL.START.TSM,ST.T24.START.TSM.CHECK
POST.BS.1.M.VG3CLONE,POST.BS.2.DAILY
POST.BS.1.M.VG3CLONE,POST.BS.2.MONTHLY
POST.BS.1.M.VG3OUT,POST.BS.1.M.VG3CLONE
POST.BS.1.VG2CLONE,POST.BS.1.M.VG3OUT
POST.BS.1.VG1CLONE,POST.BS.1.VG2OUT
POST.BS.1.VG1OUT,POST.BS.1.VG1CLONE
POST.BS.1.VG2OUT,POST.BS.1.VG2CLONE
POST.BS.2.1.MB7.EDW.POST.ACC,POST.BS.4.UNLOCK.REPORT
ST.T24.START.TSM.BS.CHECK,POST.BS.2.1.MB7.EDW.POST.ACC
POST.BS.2.2.MB7.B.EDW.SUPPORT.FILES,POST.BS.4.UNLOCK.REPORT
ST.T24.START.TSM.BS.CHECK,POST.BS.2.2.MB7.B.EDW.SUPPORT.FILES
POST.BS.2.3.MB7.EDW.FILES.BTC,POST.BS.4.UNLOCK.REPORT
ST.T24.START.TSM.BS.CHECK,POST.BS.2.3.MB7.EDW.FILES.BTC
POST.BS.3.CHECK.DATA.RSYNC,POST.BS.4.UNLOCK.REPORT
POST.BS.3.START.RSYNC.LOCAL.REPLICA,POST.BS.3.CHECK.DATA.RSYNC
ST.T24.START.TSM.BS.CHECK,POST.BS.3.START.RSYNC.LOCAL.REPLICA
POST.LOCAL.10.AUTHORIZATION.OF.INTEREST.PARAMETERS,POST.LOCAL.11.CHANGE.OF.INTEREST.MARGIN.FOR.EURIBOR.INHLD
POST.LOCAL.9.CHANGE.OF.INTEREST.PARAMETERS.INAU,POST.LOCAL.10.AUTHORIZATION.OF.INTEREST.PARAMETERS
POST.LOCAL.11.CHANGE.OF.INTEREST.MARGIN.FOR.EURIBOR.INHLD,POST.LOCAL.12.CHANGE.OF.INTEREST.MARGIN.FOR.EURIBOR.INAU
POST.LOCAL.12.CHANGE.OF.INTEREST.MARGIN.FOR.EURIBOR.INAU,POST.LOCAL.13.AUTHORIZATION.OF.INTEREST.MARGIN.FOR.EURIBOR.PD
POST.LOCAL.13.AUTHORIZATION.OF.INTEREST.MARGIN.FOR.EURIBOR.PD,ST.T24.ONLINE.STEPS.FOR.NEXT.WORKING.DAY
POST.LOCAL.13.AUTHORIZATION.OF.INTEREST.MARGIN.FOR.EURIBOR.PD,POST.LOCAL.14.RETAIL.LOANS.STATUS
POST.LOCAL.13.AUTHORIZATION.OF.INTEREST.MARGIN.FOR.EURIBOR.PD,POST.LOCAL.17.MB4.B.UPDATE.WARNING.CUSTOMER
POST.LOCAL.14.RETAIL.LOANS.STATUS,POST.LOCAL.15.STATUS.END.LOANS.PROCESSING
POST.LOCAL.15.STATUS.END.LOANS.PROCESSING,POST.LOCAL.16.COPYING.DAILY.REPORTS.HOLD
